month,entry_time,exit_time,symbol,direction,entry_price,result,realized_R,net_pips,gross_pips,duration_minutes,duration,aggression_mode,score,reason_code,gaspar_p_deteriorating,melchor_signal,decision_id,split
2020-03,2020-03-18T07:45:00Z,2020-03-18T08:10:00Z,EURUSD,SELL,1.10414,WIN,1.781308,17.81308,20.0,25.0,25m,normal,0.314891,score_normal,0.194409,APPROVE,EURUSD-2020-03-18T07:45:00Z-000257,train
2020-03,2020-03-18T08:55:00Z,2020-03-18T09:15:00Z,EURUSD,SELL,1.10075,LOSS,-1.205854,-12.05854,-10.0,20.0,20m,cautious,0.210576,score_cautious,0.24468,APPROVE,EURUSD-2020-03-18T08:55:00Z-000260,train
2020-03,2020-03-18T09:45:00Z,2020-03-18T10:00:00Z,EURUSD,SELL,1.09971,WIN,1.634981,16.34981,20.0,15.0,15m,cautious,0.29159,score_cautious,0.395211,APPROVE,EURUSD-2020-03-18T09:45:00Z-000263,train
2020-03,2020-03-18T10:15:00Z,2020-03-18T10:55:00Z,EURUSD,SELL,1.09846,WIN,1.79093,17.9093,20.0,40.0,40m,cautious,0.245957,score_cautious,0.488763,APPROVE,EURUSD-2020-03-18T10:15:00Z-000266,train
2020-03,2020-03-18T11:25:00Z,2020-03-18T11:35:00Z,EURUSD,SELL,1.09877,LOSS,-1.256534,-12.56534,-10.0,10.0,10m,cautious,0.211046,score_cautious,0.49063,APPROVE,EURUSD-2020-03-18T11:25:00Z-000267,train
2020-03,2020-03-18T14:00:00Z,2020-03-18T14:25:00Z,EURUSD,SELL,1.0977,WIN,1.708824,17.08824,20.0,25.0,25m,normal,0.354517,score_normal,0.316181,APPROVE,EURUSD-2020-03-18T14:00:00Z-000272,train
2020-03,2020-03-18T14:40:00Z,2020-03-18T15:00:00Z,EURUSD,SELL,1.09675,WIN,1.669831,16.69831,20.0,20.0,20m,normal,0.313518,score_normal,0.395585,APPROVE,EURUSD-2020-03-18T14:40:00Z-000274,train
2020-03,2020-03-18T17:35:00Z,2020-03-18T17:45:00Z,EURUSD,SELL,1.0872,WIN,1.781562,17.81562,20.0,10.0,10m,normal,0.327962,score_normal,0.343464,APPROVE,EURUSD-2020-03-18T17:35:00Z-000278,train
2020-03,2020-03-18T17:55:00Z,2020-03-18T18:00:00Z,EURUSD,SELL,1.08546,WIN,1.658163,16.58163,20.0,5.0,5m,cautious,0.216218,score_cautious,0.472879,APPROVE,EURUSD-2020-03-18T17:55:00Z-000280,train
2020-03,2020-03-18T18:25:00Z,2020-03-18T18:55:00Z,EURUSD,SELL,1.08425,WIN,1.688564,16.88564,20.0,30.0,30m,normal,0.347607,score_normal,0.361148,APPROVE,EURUSD-2020-03-18T18:25:00Z-000282,train
2020-03,2020-03-18T18:55:00Z,2020-03-18T19:00:00Z,EURUSD,BUY,1.08176,LOSS,-1.237221,-12.37221,-10.0,5.0,5m,normal,0.346875,score_normal,0.214883,APPROVE,EURUSD-2020-03-18T18:55:00Z-000283,train
2020-03,2020-03-18T19:00:00Z,2020-03-18T19:30:00Z,EURUSD,BUY,1.08091,WIN,1.790441,17.90441,20.0,30.0,30m,premium,0.459866,score_premium,0.366658,APPROVE,EURUSD-2020-03-18T19:00:00Z-000284,train
2020-03,2020-03-18T19:30:00Z,2020-03-18T19:50:00Z,EURUSD,SELL,1.08333,LOSS,-1.322518,-13.22518,-10.0,20.0,20m,cautious,0.207222,score_cautious,0.408977,APPROVE,EURUSD-2020-03-18T19:30:00Z-000285,train
2020-03,2020-03-18T21:55:00Z,2020-03-18T23:00:00Z,EURUSD,BUY,1.08953,WIN,1.731142,17.31142,20.0,65.0,1h 05m,premium,0.401261,score_premium,0.397287,APPROVE,EURUSD-2020-03-18T21:55:00Z-000286,train
2020-03,2020-03-19T08:20:00Z,2020-03-19T08:40:00Z,EURUSD,SELL,1.09338,LOSS,-1.293278,-12.93278,-10.0,20.0,20m,normal,0.324435,score_normal,0.22077,APPROVE,EURUSD-2020-03-19T08:20:00Z-000307,train
2020-03,2020-03-19T08:40:00Z,2020-03-19T08:50:00Z,EURUSD,SELL,1.09328,LOSS,-1.293542,-12.93542,-10.0,10.0,10m,cautious,0.231471,score_cautious,0.373947,APPROVE,EURUSD-2020-03-19T08:40:00Z-000308,train
