month,entry_datetime,symbol,direction,entry_price,result,net_pips,duration,duration_minutes,score,aggression_mode,reason_codes,decision_id,split,realized_R,gross_r,gross_pips
2020-03,2020-03-17 14:00:00+0000,EURUSD,SELL,1.10127,WIN,16.982010000000002,30m,30.0,0.502977,premium,[score_premium],EURUSD-2020-03-17T14:00:00Z-000236,train,1.698201,2.0,20.0
2020-03,2020-03-17 14:30:00+0000,EURUSD,BUY,1.09865,LOSS,-12.55827,5m,5.0,0.306669,normal,[score_normal],EURUSD-2020-03-17T14:30:00Z-000237,train,-1.255827,-1.0,-10.0
2020-03,2020-03-17 14:40:00+0000,EURUSD,BUY,1.09771,WIN,16.29101,55m,55.0,0.423246,premium,[score_premium],EURUSD-2020-03-17T14:40:00Z-000239,train,1.629101,2.0,20.0
2020-03,2020-03-17 17:00:00+0000,EURUSD,SELL,1.09704,LOSS,-12.30758,15m,15.0,0.360545,normal,[score_normal],EURUSD-2020-03-17T17:00:00Z-000240,train,-1.230758,-1.0,-10.0
2020-03,2020-03-17 17:50:00+0000,EURUSD,SELL,1.09874,WIN,17.20335,10m,10.0,0.366237,normal,[score_normal],EURUSD-2020-03-17T17:50:00Z-000242,train,1.720335,2.0,20.0
2020-03,2020-03-17 18:00:00+0000,EURUSD,BUY,1.09709,WIN,16.92662,30m,30.0,0.646133,premium,[score_premium],EURUSD-2020-03-17T18:00:00Z-000243,train,1.692662,2.0,20.0
2020-03,2020-03-17 18:30:00+0000,EURUSD,BUY,1.09854,LOSS,-13.24788,5m,5.0,0.30139,normal,[score_normal],EURUSD-2020-03-17T18:30:00Z-000244,train,-1.324788,-1.0,-10.0
2020-03,2020-03-17 18:35:00+0000,EURUSD,BUY,1.09745,LOSS,-12.381720000000001,25m,25.0,0.298062,cautious,[score_cautious],EURUSD-2020-03-17T18:35:00Z-000245,train,-1.238172,-1.0,-10.0
2020-03,2020-03-17 19:00:00+0000,EURUSD,BUY,1.09661,WIN,17.891550000000002,55m,55.0,0.505692,premium,[score_premium],EURUSD-2020-03-17T19:00:00Z-000246,train,1.789155,2.0,20.0
2020-03,2020-03-17 19:55:00+0000,EURUSD,BUY,1.0986,WIN,17.59543,30m,30.0,0.4812,premium,[score_premium],EURUSD-2020-03-17T19:55:00Z-000247,train,1.759543,2.0,20.0
2020-03,2020-03-17 21:00:00+0000,EURUSD,BUY,1.09996,LOSS,-13.21088,10m,10.0,0.260348,cautious,[score_cautious],EURUSD-2020-03-17T21:00:00Z-000248,train,-1.321088,-1.0,-10.0
2020-03,2020-03-17 21:25:00+0000,EURUSD,BUY,1.09843,WIN,16.44436,15m,15.0,0.443962,premium,[score_premium],EURUSD-2020-03-17T21:25:00Z-000250,train,1.644436,2.0,20.0
2020-03,2020-03-17 21:40:00+0000,EURUSD,BUY,1.10055,LOSS,-12.292559999999998,1h 10m,70.0,0.280734,cautious,[score_cautious],EURUSD-2020-03-17T21:40:00Z-000251,train,-1.229256,-1.0,-10.0
2020-03,2020-03-18 07:45:00+0000,EURUSD,SELL,1.10414,WIN,17.81308,25m,25.0,0.314891,normal,[score_normal],EURUSD-2020-03-18T07:45:00Z-000257,train,1.781308,2.0,20.0
2020-03,2020-03-18 08:55:00+0000,EURUSD,SELL,1.10075,LOSS,-12.05854,20m,20.0,0.210576,cautious,[score_cautious],EURUSD-2020-03-18T08:55:00Z-000260,train,-1.205854,-1.0,-10.0
2020-03,2020-03-18 09:45:00+0000,EURUSD,SELL,1.09971,WIN,16.34981,15m,15.0,0.29159,cautious,[score_cautious],EURUSD-2020-03-18T09:45:00Z-000263,train,1.634981,2.0,20.0
2020-03,2020-03-18 10:15:00+0000,EURUSD,SELL,1.09846,WIN,17.909299999999998,40m,40.0,0.245957,cautious,[score_cautious],EURUSD-2020-03-18T10:15:00Z-000266,train,1.79093,2.0,20.0
2020-03,2020-03-18 11:25:00+0000,EURUSD,SELL,1.09877,LOSS,-12.56534,10m,10.0,0.211046,cautious,[score_cautious],EURUSD-2020-03-18T11:25:00Z-000267,train,-1.256534,-1.0,-10.0
2020-03,2020-03-18 14:00:00+0000,EURUSD,SELL,1.0977,WIN,17.08824,25m,25.0,0.354517,normal,[score_normal],EURUSD-2020-03-18T14:00:00Z-000272,train,1.708824,2.0,20.0
