month,scenario,lot,date,trades,tp,sl,be,daily_pnl_usd,balance_usd,drawdown_usd,drawdown_pct,distance_daily_limit_usd,distance_total_limit_usd,danger_zone,toxic_cluster_detected,toxic_cluster_reason
2020-09,cluster_only_3sl,1.0,2020-09-11,7,5,2,0,782.07,103653.88,0.0,0.0,4782.07,11653.88,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-15,1,1,0,0,174.07,103827.94,0.0,0.0,4174.07,11827.94,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-16,1,1,0,0,117.54,103945.48,0.0,0.0,4117.54,11945.48,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-17,7,6,1,0,763.74,104709.22,0.0,0.0,4763.74,12709.22,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-18,2,1,1,0,132.06,104841.28,0.0,0.0,4132.06,12841.28,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-22,8,6,2,0,593.73,105435.02,0.0,0.0,4593.73,13435.02,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-23,5,4,1,0,498.8,105933.81,0.0,0.0,4498.8,13933.81,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-24,3,3,0,0,503.64,106437.45,0.0,0.0,4503.64,14437.45,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-25,6,5,1,0,582.98,107020.43,0.0,0.0,4582.98,15020.43,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-29,6,4,2,0,432.95,107453.38,0.0,0.0,4432.95,15453.38,No,False,
2020-09,cluster_only_3sl,1.0,2020-09-30,1,1,0,0,171.67,107625.05,0.0,0.0,4171.67,15625.05,No,False,
2020-09,guardrails_completos,1.0,2020-09-01,1,0,1,0,-36.14,99963.86,36.14,0.000361,3963.86,7963.86,No,False,
2020-09,guardrails_completos,1.0,2020-09-02,8,6,2,0,750.15,100714.01,0.0,0.0,4750.15,8714.01,No,False,
2020-09,guardrails_completos,1.0,2020-09-03,6,6,0,0,1037.29,101751.3,0.0,0.0,5037.29,9751.3,No,False,
2020-09,guardrails_completos,1.0,2020-09-04,1,0,1,0,-130.38,101620.93,130.38,0.001304,3869.62,9620.93,No,False,
2020-09,guardrails_completos,1.0,2020-09-08,2,1,1,0,38.93,101659.86,91.44,0.000914,4038.93,9659.86,No,False,
2020-09,guardrails_completos,1.0,2020-09-09,4,4,0,0,544.74,102204.6,0.0,0.0,4544.74,10204.6,No,False,
2020-09,guardrails_completos,1.0,2020-09-10,4,4,0,0,667.2,102871.8,0.0,0.0,4667.2,10871.8,No,False,
2020-09,guardrails_completos,1.0,2020-09-11,5,4,1,0,659.11,103530.91,0.0,0.0,4659.11,11530.91,No,False,
2020-09,guardrails_completos,1.0,2020-09-15,1,1,0,0,174.07,103704.98,0.0,0.0,4174.07,11704.98,No,False,
2020-09,guardrails_completos,1.0,2020-09-16,1,1,0,0,117.54,103822.52,0.0,0.0,4117.54,11822.52,No,False,
2020-09,guardrails_completos,1.0,2020-09-17,7,6,1,0,763.74,104586.26,0.0,0.0,4763.74,12586.26,No,False,
2020-09,guardrails_completos,1.0,2020-09-18,1,0,1,0,-48.12,104538.15,48.12,0.000481,3951.88,12538.15,No,False,
2020-09,guardrails_completos,1.0,2020-09-22,6,4,2,0,251.21,104789.36,0.0,0.0,4251.21,12789.36,No,True,cluster_2_consecutive_sl_block_180m
2020-09,guardrails_completos,1.0,2020-09-23,5,4,1,0,498.8,105288.16,0.0,0.0,4498.8,13288.16,No,False,
2020-09,guardrails_completos,1.0,2020-09-24,3,3,0,0,503.64,105791.8,0.0,0.0,4503.64,13791.8,No,False,
2020-09,guardrails_completos,1.0,2020-09-25,4,3,1,0,245.09,106036.88,0.0,0.0,4245.09,14036.88,No,False,
2020-09,guardrails_completos,1.0,2020-09-29,6,4,2,0,432.95,106469.84,0.0,0.0,4432.95,14469.84,No,False,
2020-09,guardrails_completos,1.0,2020-09-30,1,1,0,0,171.67,106641.51,0.0,0.0,4171.67,14641.51,No,False,
2021-08,baseline,1.0,2021-08-03,2,0,2,0,-134.32,99865.68,134.32,0.001343,3865.68,7865.68,No,False,
2021-08,baseline,1.0,2021-08-04,5,4,1,0,520.99,100386.67,0.0,0.0,4520.99,8386.67,No,False,
2021-08,baseline,1.0,2021-08-05,3,2,1,0,220.33,100607.0,0.0,0.0,4220.33,8607.0,No,False,
2021-08,baseline,1.0,2021-08-06,4,4,0,0,619.44,101226.44,0.0,0.0,4619.44,9226.44,No,False,
2021-08,baseline,1.0,2021-08-11,1,1,0,0,167.68,101394.12,0.0,0.0,4167.68,9394.12,No,False,
2021-08,baseline,1.0,2021-08-13,5,4,1,0,591.57,101985.69,0.0,0.0,4591.57,9985.69,No,False,
2021-08,baseline,1.0,2021-08-17,3,2,1,0,128.05,102113.74,0.0,0.0,4128.05,10113.74,No,False,
2021-08,baseline,1.0,2021-08-18,2,1,1,0,-32.25,102081.49,32.25,0.000323,3967.75,10081.49,No,False,
2021-08,baseline,1.0,2021-08-19,3,2,1,0,212.89,102294.37,0.0,0.0,4212.89,10294.37,No,False,
2021-08,baseline,1.0,2021-08-20,3,2,1,0,259.62,102554.0,0.0,0.0,4259.62,10554.0,No,False,
2021-08,baseline,1.0,2021-08-24,1,1,0,0,5.62,102559.62,0.0,0.0,4005.62,10559.62,No,False,
2021-08,baseline,1.0,2021-08-25,1,1,0,0,170.54,102730.16,0.0,0.0,4170.54,10730.16,No,False,
2021-08,baseline,1.0,2021-08-26,2,1,1,0,51.99,102782.15,0.0,0.0,4051.99,10782.15,No,False,
2021-08,baseline,1.0,2021-08-27,4,1,3,0,-94.27,102687.88,94.27,0.000943,3905.73,10687.88,No,False,
2021-08,baseline,1.0,2021-08-31,5,3,2,0,165.08,102852.96,0.0,0.0,4165.08,10852.96,No,False,
2021-08,cluster_only_3sl,1.0,2021-08-03,2,0,2,0,-134.32,99865.68,134.32,0.001343,3865.68,7865.68,No,False,
2021-08,cluster_only_3sl,1.0,2021-08-04,5,4,1,0,520.99,100386.67,0.0,0.0,4520.99,8386.67,No,False,
2021-08,cluster_only_3sl,1.0,2021-08-05,3,2,1,0,220.33,100607.0,0.0,0.0,4220.33,8607.0,No,False,
2021-08,cluster_only_3sl,1.0,2021-08-06,4,4,0,0,619.44,101226.44,0.0,0.0,4619.44,9226.44,No,False,
2021-08,cluster_only_3sl,1.0,2021-08-11,1,1,0,0,167.68,101394.12,0.0,0.0,4167.68,9394.12,No,False,
2021-08,cluster_only_3sl,1.0,2021-08-13,5,4,1,0,591.57,101985.69,0.0,0.0,4591.57,9985.69,No,False,
2021-08,cluster_only_3sl,1.0,2021-08-17,3,2,1,0,128.05,102113.74,0.0,0.0,4128.05,10113.74,No,False,
2021-08,cluster_only_3sl,1.0,2021-08-18,2,1,1,0,-32.25,102081.49,32.25,0.000323,3967.75,10081.49,No,False,
2021-08,cluster_only_3sl,1.0,2021-08-19,3,2,1,0,212.89,102294.37,0.0,0.0,4212.89,10294.37,No,False,
2021-08,cluster_only_3sl,1.0,2021-08-20,3,2,1,0,259.62,102554.0,0.0,0.0,4259.62,10554.0,No,False,
2021-08,cluster_only_3sl,1.0,2021-08-24,1,1,0,0,5.62,102559.62,0.0,0.0,4005.62,10559.62,No,False,
2021-08,cluster_only_3sl,1.0,2021-08-25,1,1,0,0,170.54,102730.16,0.0,0.0,4170.54,10730.16,No,False,
2021-08,cluster_only_3sl,1.0,2021-08-26,2,1,1,0,51.99,102782.15,0.0,0.0,4051.99,10782.15,No,False,
2021-08,cluster_only_3sl,1.0,2021-08-27,4,1,3,0,-94.27,102687.88,94.27,0.000943,3905.73,10687.88,No,False,
2021-08,cluster_only_3sl,1.0,2021-08-31,5,3,2,0,165.08,102852.96,0.0,0.0,4165.08,10852.96,No,False,
2021-08,guardrails_completos,1.0,2021-08-03,2,0,2,0,-134.32,99865.68,134.32,0.001343,3865.68,7865.68,No,False,
2021-08,guardrails_completos,1.0,2021-08-04,5,4,1,0,520.99,100386.67,0.0,0.0,4520.99,8386.67,No,False,
2021-08,guardrails_completos,1.0,2021-08-05,3,2,1,0,220.33,100607.0,0.0,0.0,4220.33,8607.0,No,False,
2021-08,guardrails_completos,1.0,2021-08-06,4,4,0,0,619.44,101226.44,0.0,0.0,4619.44,9226.44,No,False,
2021-08,guardrails_completos,1.0,2021-08-11,1,1,0,0,167.68,101394.12,0.0,0.0,4167.68,9394.12,No,False,
2021-08,guardrails_completos,1.0,2021-08-13,3,2,1,0,256.07,101650.19,0.0,0.0,4256.07,9650.19,No,False,
2021-08,guardrails_completos,1.0,2021-08-17,3,2,1,0,128.05,101778.24,0.0,0.0,4128.05,9778.24,No,False,
2021-08,guardrails_completos,1.0,2021-08-18,2,1,1,0,-32.25,101745.99,32.25,0.000323,3967.75,9745.99,No,False,
2021-08,guardrails_completos,1.0,2021-08-19,3,2,1,0,212.89,101958.87,0.0,0.0,4212.89,9958.87,No,False,
2021-08,guardrails_completos,1.0,2021-08-20,1,0,1,0,-88.74,101870.14,88.74,0.000887,3911.26,9870.14,No,False,
2021-08,guardrails_completos,1.0,2021-08-24,1,1,0,0,5.62,101875.75,83.12,0.000831,4005.62,9875.75,No,False,
2021-08,guardrails_completos,1.0,2021-08-25,1,1,0,0,170.54,102046.3,0.0,0.0,4170.54,10046.3,No,False,
2021-08,guardrails_completos,1.0,2021-08-26,2,1,1,0,51.99,102098.29,0.0,0.0,4051.99,10098.29,No,False,
2021-08,guardrails_completos,1.0,2021-08-27,2,1,1,0,44.49,102142.78,0.0,0.0,4044.49,10142.78,No,False,
2021-08,guardrails_completos,1.0,2021-08-31,5,3,2,0,165.08,102307.86,0.0,0.0,4165.08,10307.86,No,False,
2022-08,baseline,1.0,2022-08-02,8,6,2,0,779.2,100779.2,0.0,0.0,4779.2,8779.2,No,False,
2022-08,baseline,1.0,2022-08-03,7,7,0,0,1200.91,101980.12,0.0,0.0,5200.91,9980.12,No,False,
2022-08,baseline,1.0,2022-08-04,2,1,1,0,102.0,102082.12,0.0,0.0,4102.0,10082.12,No,False,
2022-08,baseline,1.0,2022-08-05,3,3,0,0,411.71,102493.83,0.0,0.0,4411.71,10493.83,No,False,
2022-08,baseline,1.0,2022-08-09,5,5,0,0,724.63,103218.47,0.0,0.0,4724.63,11218.47,No,False,
2022-08,baseline,1.0,2022-08-10,2,1,1,0,102.13,103320.6,0.0,0.0,4102.13,11320.6,No,False,
2022-08,baseline,1.0,2022-08-11,2,2,0,0,334.8,103655.4,0.0,0.0,4334.8,11655.4,No,False,
2022-08,baseline,1.0,2022-08-12,5,4,1,0,553.17,104208.57,0.0,0.0,4553.17,12208.57,No,False,
2022-08,baseline,1.0,2022-08-16,6,5,1,0,727.31,104935.88,0.0,0.0,4727.31,12935.88,No,False,
2022-08,baseline,1.0,2022-08-17,8,6,2,0,761.84,105697.72,0.0,0.0,4761.84,13697.72,No,False,
2022-08,baseline,1.0,2022-08-19,2,1,1,0,43.4,105741.12,0.0,0.0,4043.4,13741.12,No,False,
2022-08,baseline,1.0,2022-08-23,7,3,4,0,16.56,105757.67,0.0,0.0,4016.56,13757.67,No,False,
2022-08,baseline,1.0,2022-08-24,11,5,6,0,117.75,105875.43,0.0,0.0,4117.75,13875.43,No,False,
2022-08,baseline,1.0,2022-08-25,12,7,5,0,558.8,106434.23,0.0,0.0,4558.8,14434.23,No,False,
2022-08,baseline,1.0,2022-08-26,2,2,0,0,349.55,106783.78,0.0,0.0,4349.55,14783.78,No,False,
2022-08,baseline,1.0,2022-08-31,7,7,0,0,1198.33,107982.11,0.0,0.0,5198.33,15982.11,No,False,
2022-08,cluster_only_3sl,1.0,2022-08-02,8,6,2,0,779.2,100779.2,0.0,0.0,4779.2,8779.2,No,False,
2022-08,cluster_only_3sl,1.0,2022-08-03,7,7,0,0,1200.91,101980.12,0.0,0.0,5200.91,9980.12,No,False,
2022-08,cluster_only_3sl,1.0,2022-08-04,2,1,1,0,102.0,102082.12,0.0,0.0,4102.0,10082.12,No,False,
2022-08,cluster_only_3sl,1.0,2022-08-05,3,3,0,0,411.71,102493.83,0.0,0.0,4411.71,10493.83,No,False,
2022-08,cluster_only_3sl,1.0,2022-08-09,5,5,0,0,724.63,103218.47,0.0,0.0,4724.63,11218.47,No,False,
2022-08,cluster_only_3sl,1.0,2022-08-10,2,1,1,0,102.13,103320.6,0.0,0.0,4102.13,11320.6,No,False,
2022-08,cluster_only_3sl,1.0,2022-08-11,2,2,0,0,334.8,103655.4,0.0,0.0,4334.8,11655.4,No,False,
2022-08,cluster_only_3sl,1.0,2022-08-12,5,4,1,0,553.17,104208.57,0.0,0.0,4553.17,12208.57,No,False,
2022-08,cluster_only_3sl,1.0,2022-08-16,6,5,1,0,727.31,104935.88,0.0,0.0,4727.31,12935.88,No,False,
2022-08,cluster_only_3sl,1.0,2022-08-17,8,6,2,0,761.84,105697.72,0.0,0.0,4761.84,13697.72,No,False,
2022-08,cluster_only_3sl,1.0,2022-08-19,2,1,1,0,43.4,105741.12,0.0,0.0,4043.4,13741.12,No,False,
2022-08,cluster_only_3sl,1.0,2022-08-23,6,2,4,0,-160.66,105580.45,160.66,0.001607,3839.34,13580.45,No,True,cluster_3_consecutive_sl_safe_mode
2022-08,cluster_only_3sl,1.0,2022-08-24,9,4,5,0,59.67,105640.12,101.0,0.00101,4059.67,13640.12,No,True,cluster_3_consecutive_sl_safe_mode
2022-08,cluster_only_3sl,1.0,2022-08-25,12,7,5,0,558.8,106198.92,0.0,0.0,4558.8,14198.92,No,False,
2022-08,cluster_only_3sl,1.0,2022-08-26,2,2,0,0,349.55,106548.47,0.0,0.0,4349.55,14548.47,No,False,
2022-08,cluster_only_3sl,1.0,2022-08-31,7,7,0,0,1198.33,107746.8,0.0,0.0,5198.33,15746.8,No,False,
2022-08,guardrails_completos,1.0,2022-08-02,7,5,2,0,608.01,100608.01,0.0,0.0,4608.01,8608.01,No,True,cluster_2_consecutive_sl_block_180m
2022-08,guardrails_completos,1.0,2022-08-03,7,7,0,0,1200.91,101808.93,0.0,0.0,5200.91,9808.93,No,False,
2022-08,guardrails_completos,1.0,2022-08-04,2,1,1,0,102.0,101910.93,0.0,0.0,4102.0,9910.93,No,False,
2022-08,guardrails_completos,1.0,2022-08-05,3,3,0,0,411.71,102322.65,0.0,0.0,4411.71,10322.65,No,False,
2022-08,guardrails_completos,1.0,2022-08-09,5,5,0,0,724.63,103047.28,0.0,0.0,4724.63,11047.28,No,False,
2022-08,guardrails_completos,1.0,2022-08-10,2,1,1,0,102.13,103149.42,0.0,0.0,4102.13,11149.42,No,False,
2022-08,guardrails_completos,1.0,2022-08-11,2,2,0,0,334.8,103484.21,0.0,0.0,4334.8,11484.21,No,False,
2022-08,guardrails_completos,1.0,2022-08-12,3,2,1,0,223.72,103707.93,0.0,0.0,4223.72,11707.93,No,False,
2022-08,guardrails_completos,1.0,2022-08-16,6,5,1,0,727.31,104435.24,0.0,0.0,4727.31,12435.24,No,False,
2022-08,guardrails_completos,1.0,2022-08-17,8,6,2,0,761.84,105197.08,0.0,0.0,4761.84,13197.08,No,False,
2022-08,guardrails_completos,1.0,2022-08-19,1,0,1,0,-124.18,105072.89,124.18,0.001242,3875.82,13072.89,No,False,
2022-08,guardrails_completos,1.0,2022-08-23,5,2,3,0,-33.15,105039.74,157.33,0.001573,3966.85,13039.74,No,True,cluster_2_consecutive_sl_block_180m
