month,scenario,lot,date,balance_usd,peak_usd,drawdown_usd,drawdown_pct,daily_pnl_usd
2022-04,cluster_only_3sl,0.6,2022-04-22,102767.35,102767.35,0.0,0.0,391.29
2022-04,cluster_only_3sl,0.6,2022-04-26,103277.27,103277.27,0.0,0.0,509.92
2022-04,cluster_only_3sl,0.6,2022-04-27,103336.97,103336.97,0.0,0.0,59.7
2022-04,cluster_only_3sl,0.6,2022-04-28,103448.88,103448.88,0.0,0.0,111.91
2022-04,cluster_only_3sl,0.6,2022-04-29,104063.72,104063.72,0.0,0.0,614.84
2022-04,cluster_only_3sl,1.0,2022-04-01,100175.56,100175.56,0.0,0.0,175.56
2022-04,cluster_only_3sl,1.0,2022-04-05,100924.65,100924.65,0.0,0.0,749.09
2022-04,cluster_only_3sl,1.0,2022-04-06,101100.46,101100.46,0.0,0.0,175.81
2022-04,cluster_only_3sl,1.0,2022-04-08,101603.47,101603.47,0.0,0.0,503.01
2022-04,cluster_only_3sl,1.0,2022-04-12,101623.07,101623.07,0.0,0.0,19.59
2022-04,cluster_only_3sl,1.0,2022-04-13,101836.97,101836.97,0.0,0.0,213.91
2022-04,cluster_only_3sl,1.0,2022-04-14,102505.91,102505.91,0.0,0.0,668.94
2022-04,cluster_only_3sl,1.0,2022-04-15,102709.16,102709.16,0.0,0.0,203.25
2022-04,cluster_only_3sl,1.0,2022-04-19,103097.75,103097.75,0.0,0.0,388.59
2022-04,cluster_only_3sl,1.0,2022-04-20,103309.84,103309.84,0.0,0.0,212.08
2022-04,cluster_only_3sl,1.0,2022-04-21,103960.11,103960.11,0.0,0.0,650.27
2022-04,cluster_only_3sl,1.0,2022-04-22,104612.25,104612.25,0.0,0.0,652.14
2022-04,cluster_only_3sl,1.0,2022-04-26,105462.11,105462.11,0.0,0.0,849.86
2022-04,cluster_only_3sl,1.0,2022-04-27,105561.61,105561.61,0.0,0.0,99.5
2022-04,cluster_only_3sl,1.0,2022-04-28,105748.13,105748.13,0.0,0.0,186.52
2022-04,cluster_only_3sl,1.0,2022-04-29,106772.86,106772.86,0.0,0.0,1024.73
2022-04,guardrails_completos,0.6,2022-04-01,100105.33,100105.33,0.0,0.0,105.33
2022-04,guardrails_completos,0.6,2022-04-05,100554.79,100554.79,0.0,0.0,449.46
2022-04,guardrails_completos,0.6,2022-04-06,100660.28,100660.28,0.0,0.0,105.49
2022-04,guardrails_completos,0.6,2022-04-08,100962.08,100962.08,0.0,0.0,301.81
2022-04,guardrails_completos,0.6,2022-04-12,100973.84,100973.84,0.0,0.0,11.76
2022-04,guardrails_completos,0.6,2022-04-13,101102.18,101102.18,0.0,0.0,128.34
2022-04,guardrails_completos,0.6,2022-04-14,101503.55,101503.55,0.0,0.0,401.36
2022-04,guardrails_completos,0.6,2022-04-15,101625.5,101625.5,0.0,0.0,121.95
2022-04,guardrails_completos,0.6,2022-04-19,101858.65,101858.65,0.0,0.0,233.16
2022-04,guardrails_completos,0.6,2022-04-20,101985.9,101985.9,0.0,0.0,127.25
2022-04,guardrails_completos,0.6,2022-04-21,102376.06,102376.06,0.0,0.0,390.16
2022-04,guardrails_completos,0.6,2022-04-22,102690.96,102690.96,0.0,0.0,314.89
2022-04,guardrails_completos,0.6,2022-04-26,103200.87,103200.87,0.0,0.0,509.92
2022-04,guardrails_completos,0.6,2022-04-27,103195.59,103200.87,5.28,5.3e-05,-5.28
2022-04,guardrails_completos,0.6,2022-04-28,103210.06,103210.06,0.0,0.0,14.47
2022-04,guardrails_completos,0.6,2022-04-29,103451.65,103451.65,0.0,0.0,241.59
2022-04,guardrails_completos,1.0,2022-04-01,100175.56,100175.56,0.0,0.0,175.56
2022-04,guardrails_completos,1.0,2022-04-05,100924.65,100924.65,0.0,0.0,749.09
2022-04,guardrails_completos,1.0,2022-04-06,101100.46,101100.46,0.0,0.0,175.81
2022-04,guardrails_completos,1.0,2022-04-08,101603.47,101603.47,0.0,0.0,503.01
2022-04,guardrails_completos,1.0,2022-04-12,101623.07,101623.07,0.0,0.0,19.59
2022-04,guardrails_completos,1.0,2022-04-13,101836.97,101836.97,0.0,0.0,213.91
2022-04,guardrails_completos,1.0,2022-04-14,102505.91,102505.91,0.0,0.0,668.94
2022-04,guardrails_completos,1.0,2022-04-15,102709.16,102709.16,0.0,0.0,203.25
2022-04,guardrails_completos,1.0,2022-04-19,103097.75,103097.75,0.0,0.0,388.59
2022-04,guardrails_completos,1.0,2022-04-20,103309.84,103309.84,0.0,0.0,212.08
2022-04,guardrails_completos,1.0,2022-04-21,103960.11,103960.11,0.0,0.0,650.27
2022-04,guardrails_completos,1.0,2022-04-22,104484.93,104484.93,0.0,0.0,524.82
2022-04,guardrails_completos,1.0,2022-04-26,105334.79,105334.79,0.0,0.0,849.86
2022-04,guardrails_completos,1.0,2022-04-27,105325.99,105334.79,8.8,8.8e-05,-8.8
2022-04,guardrails_completos,1.0,2022-04-28,105350.11,105350.11,0.0,0.0,24.12
2022-04,guardrails_completos,1.0,2022-04-29,105752.75,105752.75,0.0,0.0,402.65
2020-09,baseline,0.6,2020-09-01,99978.32,100000.0,21.68,0.000217,-21.68
2020-09,baseline,0.6,2020-09-02,100428.41,100428.41,0.0,0.0,450.09
2020-09,baseline,0.6,2020-09-03,101050.78,101050.78,0.0,0.0,622.38
2020-09,baseline,0.6,2020-09-04,100972.56,101050.78,78.23,0.000782,-78.23
2020-09,baseline,0.6,2020-09-08,100995.92,101050.78,54.87,0.000549,23.36
2020-09,baseline,0.6,2020-09-09,101322.76,101322.76,0.0,0.0,326.84
2020-09,baseline,0.6,2020-09-10,101723.08,101723.08,0.0,0.0,400.32
2020-09,baseline,0.6,2020-09-11,102192.33,102192.33,0.0,0.0,469.24
2020-09,baseline,0.6,2020-09-15,102296.77,102296.77,0.0,0.0,104.44
2020-09,baseline,0.6,2020-09-16,102367.29,102367.29,0.0,0.0,70.52
2020-09,baseline,0.6,2020-09-17,102825.53,102825.53,0.0,0.0,458.24
2020-09,baseline,0.6,2020-09-18,102904.77,102904.77,0.0,0.0,79.23
2020-09,baseline,0.6,2020-09-22,103261.01,103261.01,0.0,0.0,356.24
2020-09,baseline,0.6,2020-09-23,103560.29,103560.29,0.0,0.0,299.28
2020-09,baseline,0.6,2020-09-24,103862.47,103862.47,0.0,0.0,302.18
2020-09,baseline,0.6,2020-09-25,104212.26,104212.26,0.0,0.0,349.79
2020-09,baseline,0.6,2020-09-29,104472.03,104472.03,0.0,0.0,259.77
2020-09,baseline,0.6,2020-09-30,104575.03,104575.03,0.0,0.0,103.0
2020-09,baseline,1.0,2020-09-01,99963.86,100000.0,36.14,0.000361,-36.14
2020-09,baseline,1.0,2020-09-02,100714.01,100714.01,0.0,0.0,750.15
2020-09,baseline,1.0,2020-09-03,101751.3,101751.3,0.0,0.0,1037.29
2020-09,baseline,1.0,2020-09-04,101620.93,101751.3,130.38,0.001304,-130.38
2020-09,baseline,1.0,2020-09-08,101659.86,101751.3,91.44,0.000914,38.93
2020-09,baseline,1.0,2020-09-09,102204.6,102204.6,0.0,0.0,544.74
2020-09,baseline,1.0,2020-09-10,102871.8,102871.8,0.0,0.0,667.2
2020-09,baseline,1.0,2020-09-11,103653.88,103653.88,0.0,0.0,782.07
2020-09,baseline,1.0,2020-09-15,103827.94,103827.94,0.0,0.0,174.07
2020-09,baseline,1.0,2020-09-16,103945.48,103945.48,0.0,0.0,117.54
2020-09,baseline,1.0,2020-09-17,104709.22,104709.22,0.0,0.0,763.74
2020-09,baseline,1.0,2020-09-18,104841.28,104841.28,0.0,0.0,132.06
2020-09,baseline,1.0,2020-09-22,105435.02,105435.02,0.0,0.0,593.73
2020-09,baseline,1.0,2020-09-23,105933.81,105933.81,0.0,0.0,498.8
2020-09,baseline,1.0,2020-09-24,106437.45,106437.45,0.0,0.0,503.64
2020-09,baseline,1.0,2020-09-25,107020.43,107020.43,0.0,0.0,582.98
2020-09,baseline,1.0,2020-09-29,107453.38,107453.38,0.0,0.0,432.95
2020-09,baseline,1.0,2020-09-30,107625.05,107625.05,0.0,0.0,171.67
2020-09,cluster_only_3sl,0.6,2020-09-01,99978.32,100000.0,21.68,0.000217,-21.68
2020-09,cluster_only_3sl,0.6,2020-09-02,100428.41,100428.41,0.0,0.0,450.09
2020-09,cluster_only_3sl,0.6,2020-09-03,101050.78,101050.78,0.0,0.0,622.38
2020-09,cluster_only_3sl,0.6,2020-09-04,100972.56,101050.78,78.23,0.000782,-78.23
2020-09,cluster_only_3sl,0.6,2020-09-08,100995.92,101050.78,54.87,0.000549,23.36
