group,scenario,month,entry_time,decision_id,symbol,direction,result_if_taken,r_if_taken,net_pips_if_taken,reason,cluster_id,cluster_consecutive_sl,daily_sl_count,session_sl_count,daily_drawdown_r,friday_risk,spread_deteriorated,safe_mode_active,blocked_until
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T12:35:00+00:00,EURUSD-2020-03-20T12:35:00Z-000360,EURUSD,SELL,WIN,1.646207,16.46207,friday_2sl_safe_mode,54,1,2,1,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T12:45:00+00:00,EURUSD-2020-03-20T12:45:00Z-000361,EURUSD,SELL,LOSS,-1.261615,-12.61615,friday_2sl_safe_mode,54,1,2,1,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T14:00:00+00:00,EURUSD-2020-03-20T14:00:00Z-000362,EURUSD,SELL,LOSS,-1.381968,-13.81968,friday_2sl_safe_mode,54,1,2,1,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T14:50:00+00:00,EURUSD-2020-03-20T14:50:00Z-000364,EURUSD,SELL,WIN,1.652244,16.52244,friday_2sl_safe_mode,54,1,2,1,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T17:00:00+00:00,EURUSD-2020-03-20T17:00:00Z-000365,EURUSD,SELL,LOSS,-1.251295,-12.51295,friday_after_12co_sl_today_gte_1,55,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T17:05:00+00:00,EURUSD-2020-03-20T17:05:00Z-000366,EURUSD,SELL,WIN,1.789154,17.89154,friday_after_12co_sl_today_gte_1,56,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T17:30:00+00:00,EURUSD-2020-03-20T17:30:00Z-000367,EURUSD,SELL,LOSS,-1.238359,-12.38359,friday_after_12co_sl_today_gte_1,57,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T17:35:00+00:00,EURUSD-2020-03-20T17:35:00Z-000368,EURUSD,SELL,WIN,1.688162,16.88162,friday_after_12co_sl_today_gte_1,58,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T17:55:00+00:00,EURUSD-2020-03-20T17:55:00Z-000369,EURUSD,BUY,LOSS,-1.388732,-13.88732,friday_after_12co_sl_today_gte_1,59,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T18:00:00+00:00,EURUSD-2020-03-20T18:00:00Z-000370,EURUSD,BUY,WIN,1.664101,16.64101,friday_after_12co_sl_today_gte_1,60,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T18:05:00+00:00,EURUSD-2020-03-20T18:05:00Z-000371,EURUSD,BUY,LOSS,-1.3535,-13.535,friday_after_12co_sl_today_gte_1,61,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T18:10:00+00:00,EURUSD-2020-03-20T18:10:00Z-000372,EURUSD,BUY,LOSS,-1.304948,-13.04948,friday_after_12co_sl_today_gte_1,62,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T18:35:00+00:00,EURUSD-2020-03-20T18:35:00Z-000373,EURUSD,BUY,LOSS,-1.371924,-13.71924,friday_after_12co_sl_today_gte_1,63,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T18:45:00+00:00,EURUSD-2020-03-20T18:45:00Z-000374,EURUSD,BUY,LOSS,-1.231766,-12.31766,friday_after_12co_sl_today_gte_1,64,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T18:50:00+00:00,EURUSD-2020-03-20T18:50:00Z-000375,EURUSD,BUY,LOSS,-1.351597,-13.51597,friday_after_12co_sl_today_gte_1,65,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T18:55:00+00:00,EURUSD-2020-03-20T18:55:00Z-000376,EURUSD,BUY,WIN,1.646818,16.46818,friday_after_12co_sl_today_gte_1,66,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T19:15:00+00:00,EURUSD-2020-03-20T19:15:00Z-000377,EURUSD,BUY,LOSS,-1.274393,-12.74393,friday_after_12co_sl_today_gte_1,67,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T21:20:00+00:00,EURUSD-2020-03-20T21:20:00Z-000378,EURUSD,BUY,LOSS,-1.275051,-12.75051,friday_after_12co_sl_today_gte_1,68,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T21:30:00+00:00,EURUSD-2020-03-20T21:30:00Z-000379,EURUSD,BUY,WIN,1.755455,17.55455,friday_after_12co_sl_today_gte_1,69,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-20T21:50:00+00:00,EURUSD-2020-03-20T21:50:00Z-000380,EURUSD,BUY,WIN,1.766967,17.66967,friday_after_12co_sl_today_gte_1,70,0,2,0,2.620597,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-22T17:00:00+00:00,EURUSD-2022-04-22T17:00:00Z-002653,EURUSD,BUY,LOSS,-1.360499,-13.60499,friday_after_12co_sl_today_gte_1,98,0,1,0,1.372211,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-22T17:55:00+00:00,EURUSD-2022-04-22T17:55:00Z-002655,EURUSD,BUY,WIN,0.959875,9.59875,friday_after_12co_sl_today_gte_1,98,0,1,0,1.372211,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-22T21:55:00+00:00,EURUSD-2022-04-22T21:55:00Z-002656,EURUSD,SELL,WIN,1.673861,16.73861,friday_after_12co_sl_today_gte_1,99,0,1,0,1.372211,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-27T12:10:00+00:00,EURUSD-2022-04-27T12:10:00Z-002675,EURUSD,SELL,LOSS,-1.358605,-13.58605,cluster_2_consecutive_sl_block_180m,104,2,2,1,2.633634,False,False,False,2022-04-27T15:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-27T12:25:00+00:00,EURUSD-2022-04-27T12:25:00Z-002676,EURUSD,SELL,WIN,1.61507,16.1507,cluster_2_consecutive_sl_block_180m,104,2,2,1,2.633634,False,False,False,2022-04-27T15:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-27T14:30:00+00:00,EURUSD-2022-04-27T14:30:00Z-002677,EURUSD,SELL,WIN,1.606485,16.06485,cluster_2_consecutive_sl_block_180m,104,2,2,1,2.633634,False,False,False,2022-04-27T15:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-27T18:35:00+00:00,EURUSD-2022-04-27T18:35:00Z-002682,EURUSD,SELL,LOSS,-1.273887,-12.73887,cluster_2_consecutive_sl_block_180m,107,2,5,3,6.648262,False,False,False,2022-04-27T21:35:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-28T11:40:00+00:00,EURUSD-2022-04-28T11:40:00Z-002690,EURUSD,SELL,WIN,1.624027,16.24027,cluster_2_consecutive_sl_block_180m,110,2,3,3,3.917708,False,False,False,2022-04-28T12:50:00+00:00
