path,present_count,missing_count,null_count,null_pct,types,cardinality,numeric_min,numeric_max,examples
features.H4.oldest_bar_time,371513,0,0,0.0,str:371513,1,,,2019-01-02T04:00:00 | 2019-01-02T04:00:00 | 2019-01-02T04:00:00
features.H4.rates_array_as_series,371513,0,0,0.0,bool:371513,1,,,False | False | False
features.H4.recent_range,371513,0,0,0.0,float:371513,1405,0.0019,0.04406,0.00402 | 0.00402 | 0.00402
features.H4.rsi_14,371513,0,0,0.0,float:371513,>2000,14.48,88.97,49.65 | 49.65 | 49.65
features.H4.selected_array_index,371513,0,0,0.0,int:371513,1,47.0,47.0,47 | 47 | 47
features.H4.selected_shift,371513,0,0,0.0,int:371513,2,1.0,2.0,1 | 1 | 1
features.H4.structure_direction,371513,0,0,0.0,str:371513,3,,,neutral | neutral | neutral
features.M15.age_minutes,371513,0,0,0.0,float:371513,3,0.0,10.0,0.0 | 5.0 | 10.0
features.M15.alignment_status,371513,0,0,0.0,str:371513,1,,,ok | ok | ok
features.M15.alignment_warning,371513,0,371513,1.0,null:371513,0,,,
features.M15.anchor_ibar_shift,371513,0,0,0.0,int:371513,2,0.0,1.0,0 | 0 | 0
features.M15.bar_close_timestamp,371513,0,0,0.0,str:371513,>2000,,,2020-01-15T00:00:00 | 2020-01-15T00:00:00 | 2020-01-15T00:00:00
features.M15.bar_timestamp,371513,0,0,0.0,str:371513,>2000,,,2020-01-14T23:45:00 | 2020-01-14T23:45:00 | 2020-01-14T23:45:00
features.M15.bars_available,371513,0,0,0.0,int:371513,>2000,25625.0,180965.0,25625 | 25625 | 25625
features.M15.candle_pattern,371513,0,0,0.0,str:371513,4,,,none | none | none
features.M15.copied_array_size,371513,0,0,0.0,int:371513,1,48.0,48.0,48 | 48 | 48
features.M15.data_source_status,371513,0,0,0.0,str:371513,1,,,OK | OK | OK
features.M15.ema_20,371513,0,0,0.0,float:371513,>2000,0.95571801,1.23361071,1.1127869 | 1.1127869 | 1.1127869
features.M15.ema_200,371513,0,0,0.0,float:371513,>2000,0.9610706,1.23066062,1.11273631 | 1.11273631 | 1.11273631
features.M15.ema_50,371513,0,0,0.0,float:371513,>2000,0.95667888,1.23243464,1.11280108 | 1.11280108 | 1.11280108
features.M15.market_structure,371513,0,0,0.0,str:371513,3,,,breakout | breakout | breakout
features.M15.newest_bar_time,371513,0,0,0.0,str:371513,>2000,,,2020-01-15T00:00:00 | 2020-01-15T00:00:00 | 2020-01-15T00:00:00
features.M15.oldest_bar_time,371513,0,0,0.0,str:371513,1,,,2019-01-02T06:00:00 | 2019-01-02T06:00:00 | 2019-01-02T06:00:00
features.M15.rates_array_as_series,371513,0,0,0.0,bool:371513,1,,,False | False | False
features.M15.recent_range,371513,0,0,0.0,float:371513,1112,0.00013,0.02181,0.00054 | 0.00054 | 0.00054
features.M15.rsi_14,371513,0,0,0.0,float:371513,>2000,7.27,93.35,49.22 | 49.22 | 49.22
features.M15.selected_array_index,371513,0,0,0.0,int:371513,1,47.0,47.0,47 | 47 | 47
features.M15.selected_shift,371513,0,0,0.0,int:371513,2,1.0,2.0,1 | 1 | 1
features.M15.structure_direction,371513,0,0,0.0,str:371513,3,,,bullish | bullish | bullish
features.count,371513,0,0,0.0,int:371513,1,4.0,4.0,4 | 4 | 4
gaspar_context.anchor_timeframe,371513,0,0,0.0,str:371513,1,,,M5 | M5 | M5
gaspar_context.context_id,371513,0,0,0.0,str:371513,>2000,,,EURUSD_M5_2020-01-15T00:00:00_tester | EURUSD_M5_2020-01-15T00:05:00_tester | EURUSD_M5_2020-01-15T00:10:00_tester
gaspar_context.d1_age_minutes,371513,0,0,0.0,float:371513,288,0.0,1435.0,0.0 | 5.0 | 10.0
gaspar_context.d1_bar_timestamp,371513,0,0,0.0,str:371513,1443,,,2020-01-14T00:00:00Z | 2020-01-14T00:00:00Z | 2020-01-14T00:00:00Z
gaspar_context.data_quality_flags,371513,0,371513,1.0,null:371513,0,,,
gaspar_context.day_context.current_d1_range_vs_atr,371513,0,0,0.0,float:371513,1441,0.058651,3.975932,0.870978 | 0.870978 | 0.870978
