variant,threshold,month,rows,trades,coverage,trade_precision,buy_precision,sell_precision,avg_r,total_r,profit_factor,max_drawdown_r,prediction_distribution,target_distribution,low_sample
rich_policy_light,0.40,2025-03,4577,857,0.187241,0.358226,0.362963,0.350158,0.241505,206.97,1.44595,98.69,"{""DO_NOTHING"": 3720, ""ENTER_BUY"": 540, ""ENTER_SELL"": 317}","{""DO_NOTHING"": 2332, ""ENTER_BUY"": 1164, ""ENTER_SELL"": 1081}",False
rich_policy_light,0.40,2025-04,5188,2293,0.441981,0.384213,0.451859,0.32717,0.166079,380.82,1.272669,145.38,"{""DO_NOTHING"": 2895, ""ENTER_BUY"": 1049, ""ENTER_SELL"": 1244}","{""DO_NOTHING"": 2083, ""ENTER_BUY"": 1674, ""ENTER_SELL"": 1431}",False
rich_policy_light,0.40,2025-05,5176,2649,0.511785,0.303133,0.358423,0.262883,-0.027999,-74.17,0.957223,259.24,"{""DO_NOTHING"": 2527, ""ENTER_BUY"": 1116, ""ENTER_SELL"": 1533}","{""DO_NOTHING"": 2371, ""ENTER_BUY"": 1562, ""ENTER_SELL"": 1243}",False
rich_policy_light,0.40,2025-06,4613,1122,0.243226,0.299465,0.340807,0.272189,-0.005383,-6.04,0.991595,124.1,"{""DO_NOTHING"": 3491, ""ENTER_BUY"": 446, ""ENTER_SELL"": 676}","{""DO_NOTHING"": 2481, ""ENTER_BUY"": 1207, ""ENTER_SELL"": 925}",False
rich_policy_light,0.40,2025-07,5235,2054,0.392359,0.336417,0.233444,0.37931,0.158598,325.76,1.277434,128.82,"{""DO_NOTHING"": 3181, ""ENTER_BUY"": 604, ""ENTER_SELL"": 1450}","{""DO_NOTHING"": 2834, ""ENTER_BUY"": 946, ""ENTER_SELL"": 1455}",False
rich_policy_light,0.40,2025-08,4898,2097,0.428134,0.254173,0.42029,0.228995,-0.08959,-187.87,0.864992,276.59,"{""DO_NOTHING"": 2801, ""ENTER_BUY"": 276, ""ENTER_SELL"": 1821}","{""DO_NOTHING"": 2914, ""ENTER_BUY"": 974, ""ENTER_SELL"": 1010}",False
rich_policy_light,0.40,2025-09,4901,1654,0.337482,0.293833,0.21875,0.324532,0.081608,134.98,1.140808,144.87,"{""DO_NOTHING"": 3247, ""ENTER_BUY"": 480, ""ENTER_SELL"": 1174}","{""DO_NOTHING"": 3081, ""ENTER_BUY"": 863, ""ENTER_SELL"": 957}",False
rich_policy_light,0.40,2025-10,5429,2130,0.392337,0.305634,0.3125,0.303721,0.237099,505.02,1.477028,141.32,"{""DO_NOTHING"": 3299, ""ENTER_BUY"": 464, ""ENTER_SELL"": 1666}","{""DO_NOTHING"": 3455, ""ENTER_BUY"": 956, ""ENTER_SELL"": 1018}",False
rich_policy_light,0.40,2025-11,4612,1627,0.352775,0.254456,0.115,0.274001,0.028586,46.51,1.049527,196.24,"{""DO_NOTHING"": 2985, ""ENTER_BUY"": 200, ""ENTER_SELL"": 1427}","{""DO_NOTHING"": 3314, ""ENTER_BUY"": 621, ""ENTER_SELL"": 677}",False
rich_policy_light,0.40,2025-12,4596,744,0.16188,0.244624,0.404412,0.208882,0.109879,81.75,1.208487,100.13,"{""DO_NOTHING"": 3852, ""ENTER_BUY"": 136, ""ENTER_SELL"": 608}","{""DO_NOTHING"": 3497, ""ENTER_BUY"": 616, ""ENTER_SELL"": 483}",False
rich_policy_light,0.40,2026-01,4611,1590,0.344828,0.308805,0.243346,0.321778,0.059912,95.26,1.1008,213.7,"{""DO_NOTHING"": 3021, ""ENTER_BUY"": 263, ""ENTER_SELL"": 1327}","{""DO_NOTHING"": 2888, ""ENTER_BUY"": 857, ""ENTER_SELL"": 866}",False
rich_policy_light,0.40,2026-02,4539,1688,0.371888,0.242299,0.212481,0.262069,0.018916,31.93,1.033859,116.51,"{""DO_NOTHING"": 2851, ""ENTER_BUY"": 673, ""ENTER_SELL"": 1015}","{""DO_NOTHING"": 3177, ""ENTER_BUY"": 581, ""ENTER_SELL"": 781}",False
rich_policy_light,0.40,2026-03,4866,2167,0.445335,0.33318,0.347541,0.322684,0.143073,310.04,1.242837,141.21,"{""DO_NOTHING"": 2699, ""ENTER_BUY"": 915, ""ENTER_SELL"": 1252}","{""DO_NOTHING"": 2382, ""ENTER_BUY"": 1060, ""ENTER_SELL"": 1424}",False
rich_policy_light,0.40,2026-04,2294,609,0.265475,0.205255,0.0,0.206954,-0.155846,-94.91,0.751577,143.73,"{""DO_NOTHING"": 1685, ""ENTER_BUY"": 5, ""ENTER_SELL"": 604}","{""DO_NOTHING"": 1283, ""ENTER_BUY"": 692, ""ENTER_SELL"": 319}",False
rich_policy_medium,0.40,2024-01,4900,1373,0.280204,0.260743,0.208075,0.276879,-0.022105,-30.35,0.964021,295.84,"{""DO_NOTHING"": 3527, ""ENTER_BUY"": 322, ""ENTER_SELL"": 1051}","{""DO_NOTHING"": 3222, ""ENTER_BUY"": 711, ""ENTER_SELL"": 967}",False
rich_policy_medium,0.40,2024-02,4900,818,0.166939,0.300733,0.282374,0.339695,0.208545,170.59,1.397544,108.66,"{""DO_NOTHING"": 4082, ""ENTER_BUY"": 556, ""ENTER_SELL"": 262}","{""DO_NOTHING"": 3681, ""ENTER_BUY"": 652, ""ENTER_SELL"": 567}",False
rich_policy_medium,0.40,2024-03,4857,564,0.116121,0.157801,0.196765,0.082902,-0.061082,-34.45,0.891578,77.8,"{""DO_NOTHING"": 4293, ""ENTER_BUY"": 371, ""ENTER_SELL"": 193}","{""DO_NOTHING"": 3713, ""ENTER_BUY"": 475, ""ENTER_SELL"": 669}",False
rich_policy_medium,0.40,2024-04,4901,1157,0.236074,0.263613,0.263557,0.26383,0.165445,191.42,1.3285,90.29,"{""DO_NOTHING"": 3744, ""ENTER_BUY"": 922, ""ENTER_SELL"": 235}","{""DO_NOTHING"": 3419, ""ENTER_BUY"": 741, ""ENTER_SELL"": 741}",False
rich_policy_medium,0.40,2024-05,5476,680,0.124178,0.117647,0.209366,0.012618,-0.196074,-133.33,0.67669,201.58,"{""DO_NOTHING"": 4796, ""ENTER_BUY"": 363, ""ENTER_SELL"": 317}","{""DO_NOTHING"": 4306, ""ENTER_BUY"": 677, ""ENTER_SELL"": 493}",False
rich_policy_medium,0.40,2024-06,4612,776,0.168257,0.221649,0.205357,0.263889,0.084691,65.72,1.159159,119.52,"{""DO_NOTHING"": 3836, ""ENTER_BUY"": 560, ""ENTER_SELL"": 216}","{""DO_NOTHING"": 3394, ""ENTER_BUY"": 492, ""ENTER_SELL"": 726}",False
