variant,threshold,quarter,rows,trades,coverage,trade_precision,buy_precision,sell_precision,avg_r,total_r,profit_factor,max_drawdown_r,prediction_distribution,target_distribution,low_sample
rich_policy_light,0.50,2024Q2,14989,682,0.0455,0.274194,0.274686,0.272,0.077493,52.85,1.134973,143.01,"{""DO_NOTHING"": 14307, ""ENTER_BUY"": 557, ""ENTER_SELL"": 125}","{""DO_NOTHING"": 11119, ""ENTER_BUY"": 1910, ""ENTER_SELL"": 1960}",False
rich_policy_light,0.50,2024Q3,14801,313,0.021147,0.271565,0.274112,0.267241,0.252141,78.92,1.556206,45.53,"{""DO_NOTHING"": 14488, ""ENTER_BUY"": 197, ""ENTER_SELL"": 116}","{""DO_NOTHING"": 11126, ""ENTER_BUY"": 1944, ""ENTER_SELL"": 1731}",False
rich_policy_light,0.50,2024Q4,14931,1212,0.081173,0.289604,0.28,0.308252,0.08354,101.25,1.14501,159.95,"{""DO_NOTHING"": 13719, ""ENTER_BUY"": 800, ""ENTER_SELL"": 412}","{""DO_NOTHING"": 9589, ""ENTER_BUY"": 2456, ""ENTER_SELL"": 2886}",False
rich_policy_light,0.50,2025Q1,14033,692,0.049312,0.303468,0.29108,0.323308,0.058974,40.81,1.097447,109.27,"{""DO_NOTHING"": 13341, ""ENTER_BUY"": 426, ""ENTER_SELL"": 266}","{""DO_NOTHING"": 8014, ""ENTER_BUY"": 2997, ""ENTER_SELL"": 3022}",False
rich_policy_light,0.50,2025Q2,14977,821,0.054817,0.306943,0.468468,0.196721,-0.066066,-54.24,0.903488,233.09,"{""DO_NOTHING"": 14156, ""ENTER_BUY"": 333, ""ENTER_SELL"": 488}","{""DO_NOTHING"": 6935, ""ENTER_BUY"": 4443, ""ENTER_SELL"": 3599}",False
rich_policy_light,0.50,2025Q3,15034,1238,0.082347,0.338449,0.345133,0.336957,0.135848,168.18,1.231414,103.5,"{""DO_NOTHING"": 13796, ""ENTER_BUY"": 226, ""ENTER_SELL"": 1012}","{""DO_NOTHING"": 8829, ""ENTER_BUY"": 2783, ""ENTER_SELL"": 3422}",False
rich_policy_light,0.50,2025Q4,14637,606,0.041402,0.372937,0.301587,0.381215,0.399884,242.33,1.895826,75.08,"{""DO_NOTHING"": 14031, ""ENTER_BUY"": 63, ""ENTER_SELL"": 543}","{""DO_NOTHING"": 10266, ""ENTER_BUY"": 2193, ""ENTER_SELL"": 2178}",False
rich_policy_light,0.50,2026Q1,14016,1077,0.076841,0.361188,0.286517,0.375973,0.191458,206.2,1.337507,72.0,"{""DO_NOTHING"": 12939, ""ENTER_BUY"": 178, ""ENTER_SELL"": 899}","{""DO_NOTHING"": 8447, ""ENTER_BUY"": 2498, ""ENTER_SELL"": 3071}",False
rich_policy_light,0.50,2026Q2,2294,128,0.055798,0.21875,,0.21875,-0.1775,-22.72,0.726265,59.29,"{""DO_NOTHING"": 2166, ""ENTER_SELL"": 128}","{""DO_NOTHING"": 1283, ""ENTER_BUY"": 692, ""ENTER_SELL"": 319}",False
rich_policy_medium,0.50,2024Q1,14657,553,0.037729,0.321881,0.237069,0.383178,0.250922,138.76,1.481806,75.21,"{""DO_NOTHING"": 14104, ""ENTER_BUY"": 232, ""ENTER_SELL"": 321}","{""DO_NOTHING"": 10616, ""ENTER_BUY"": 1838, ""ENTER_SELL"": 2203}",False
rich_policy_medium,0.50,2024Q2,14989,392,0.026153,0.334184,0.332288,0.342466,0.336352,131.85,1.708528,67.19,"{""DO_NOTHING"": 14597, ""ENTER_BUY"": 319, ""ENTER_SELL"": 73}","{""DO_NOTHING"": 11119, ""ENTER_BUY"": 1910, ""ENTER_SELL"": 1960}",False
