feature,importance
categorical__regime_new_york|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_mid_high,0.0001767855
categorical__regime_asia|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_mid_high,0.0001688504
categorical__regime_inactive|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_mid_low,0.0001665167
categorical__regime_overlap|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_low,0.0001625147
categorical__regime_new_york|h4_range|d1_range|align_neutral|atr_normal|d1pos_mid_low,0.0001624709
categorical__regime_inactive|h4_range|d1_range|align_neutral|atr_extended|d1pos_mid_high,0.0001619807
categorical__regime_overlap|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_mid_low,0.0001606432
categorical__regime_inactive|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_low,0.0001587232
categorical__regime_new_york|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_mid_high,0.0001585144
categorical__regime_new_york|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_high,0.0001579432
categorical__regime_new_york|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_mid_low,0.0001564007
categorical__regime_inactive|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_high,0.0001558171
categorical__regime_new_york|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_mid_low,0.0001546036
categorical__regime_asia|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_low,0.0001537007
categorical__regime_new_york|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_low,0.0001536934
categorical__regime_new_york|h4_range|d1_range|align_neutral|atr_extended|d1pos_high,0.000153385
categorical__regime_inactive|h4_range|d1_range|align_neutral|atr_normal|d1pos_mid_low,0.0001409035
categorical__regime_london|h4_range|d1_range|align_neutral|atr_low|d1pos_high,0.0001399135
categorical__regime_london|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_mid_low,0.000139543
categorical__regime_overlap|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_low,0.00013738
categorical__regime_overlap|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_mid_low,0.0001354347
categorical__regime_london|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_mid_low,0.0001349206
categorical__regime_london|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_low,0.0001323571
categorical__regime_new_york|h4_bearish|d1_range|align_neutral|atr_low|d1pos_low,0.0001312282
categorical__regime_london|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_low,0.0001297422
categorical__regime_asia|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_mid_low,0.0001221784
categorical__regime_asia|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_high,0.0001187317
categorical__regime_london|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_high,0.0001158241
categorical__regime_new_york|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_low,0.0001150669
categorical__regime_asia|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_mid_low,0.0001129779
categorical__regime_overlap|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_low,0.0001126834
categorical__regime_new_york|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_low,0.0001122958
categorical__regime_asia|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_mid_high,0.0001107066
categorical__regime_london|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_high,0.0001104918
categorical__regime_london|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_high,0.0001083221
categorical__regime_london|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_high,0.000106496
categorical__regime_inactive|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_mid_low,0.0001057073
categorical__regime_new_york|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_mid_low,0.0001042603
categorical__regime_new_york|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_high,0.0001023893
categorical__regime_new_york|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_mid_high,0.0001021651
categorical__regime_overlap|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_low,0.0001015062
